"Date","Price","Open","High","Low","Vol.","Change %"
"10/16/2025","4,290.33","4,209.43","4,298.73","4,203.68","","1.92%"
"10/15/2025","4,209.51","4,144.40","4,218.42","4,140.45","","1.62%"
"10/14/2025","4,142.31","4,108.98","4,180.39","4,090.49","","0.77%"
"10/13/2025","4,110.70","4,018.79","4,117.14","4,008.80","","1.87%"
"10/12/2025","4,035.12","4,014.43","4,059.81","4,008.75","","0.42%"
"10/10/2025","4,018.30","3,977.58","4,022.96","3,946.80","","1.06%"
"10/09/2025","3,976.29","4,042.69","4,058.09","3,944.80","","-1.55%"
"10/08/2025","4,038.90","3,983.82","4,059.34","3,982.86","","1.38%"
"10/07/2025","3,983.82","3,962.48","3,991.18","3,940.75","","0.57%"
"10/06/2025","3,961.09","3,888.45","3,970.24","3,883.93","","1.91%"
"10/03/2025","3,886.83","3,857.92","3,891.85","3,838.05","","0.79%"
"10/02/2025","3,856.53","3,866.66","3,897.20","3,819.51","","-0.24%"
"10/01/2025","3,865.80","3,858.84","3,895.45","3,853.44","","0.19%"
"09/30/2025","3,858.51","3,833.84","3,871.87","3,793.18","","0.64%"
"09/29/2025","3,833.93","3,758.59","3,834.58","3,757.62","","1.96%"
"09/26/2025","3,760.24","3,748.18","3,783.88","3,734.58","","0.29%"
"09/25/2025","3,749.37","3,736.67","3,761.66","3,722.04","","0.35%"
"09/24/2025","3,736.29","3,765.78","3,779.54","3,717.30","","-0.74%"
"09/23/2025","3,764.19","3,746.47","3,791.11","3,736.73","","0.47%"
"09/22/2025","3,746.47","3,686.80","3,749.25","3,683.62","","1.67%"
"09/19/2025","3,684.98","3,645.04","3,686.33","3,632.28","","1.11%"
"09/18/2025","3,644.36","3,659.40","3,673.18","3,627.89","","-0.43%"
"09/17/2025","3,660.04","3,691.80","3,707.70","3,645.44","","-0.81%"
"09/16/2025","3,689.80","3,678.84","3,703.23","3,674.66","","0.29%"
